year,pacfa_id,business_type,facility_name,address,city,state,zip_code,county,latitude,longitude
2009,1161,,Animal Clinic Of Julesburg,809 W 3Rd St.,Julesburg,Co,80737.0,,,
2010,1161,,Animal Clinic Of Julesburg,809 W 3rd St.,Julesburg,Co,80737.0,,,
2011,1161,,Animal Clinic Of Julesburg,809 W 3Rd St.,Julesburg,Co,80737.0,,,
2012,1161.0,,Animal Clinic Of Julesburg,809 W 3Rd St.,Julesburg,Co,80737.0,,,
2013,1161,,Animal Clinic Of Julesburg,809 W 3Rd St.,Julesburg,Co,80737.0,,,
2014,,,Animal Clinic of Julesburg,809 W 3rd  St,Julesburg ,,80737,Sedgwick County,40.983887,-102.271767
2015,,,Animal Clinic of Julesburg,809 West 3rd Street,Julesburg ,,80737,Sedgwick County,40.983887,-102.271767
2016,,,Animal Clinic of Julesburg,809 West 3rd Street,Julesburg,,80737,Sedgwick County,40.986476,-102.262325
2017,,,Animal Clinic of Julesburg,809 West 3rd Street,Julesburg,,80737,Sedgwick County,40.877767,-102.187323
Licensing,,Pet Animal Small Shelter,"Animal Den, Inc.",,Eaton,Co,,Weld,,
2020,,Pet Animal Small Shelter,Animal Friends Alliance,,Fort Collins,Co,,Larimer,,
2021,,Pet Animal Small Shelter,Animal Friends Alliance,,Fort Collins,Co,,Larimer,,
2022,,Pet Animal Small Shelter,Animal Friends Alliance,,Fort Collins,Co,,Larimer,,
2023,,Pet Animal Small Shelter,Animal Friends Alliance,,Fort Collins,Co,,Larimer,,
Licensing,,Pet Animal Small Shelter,Animal Friends Alliance,,Fort Collins,Co,,Larimer,,
Licensing,,Pet Animal Small Shelter,Animal Friends Alliance,,Westminster,Co,,Jefferson,,
2016,,,Animal House Pets & Grooming,,Fort Collin,,80521,Larimer County,40.588972,-105.082459
2018,,,Animal House Pets & Grooming,,Fort Collin,,80521,Larimer County,40.588972,-105.082459
2007,5597.0,,"Animal House Pets & Grooming, Inc.",1104 W. Vine Dr.,Fort Collins,Co,80521.0,Larimer County,40.624808,-105.028464
