year,pacfa_id,license_no,business_type,facility_name,address,city,state,zip_code,county,latitude,longitude,animal_type,measure,value
2007,5292.0,,,Animal Rescue Foundation,1459 Cr 102,Carbondale,Co,81623.0,,,,Dog,Transfer Out,1
2007,5667.0,Pl000Vqj,Pet Animal Small Shelter,Animal Rescue of the Rockies,0577A Broken Lance,Breckenridge,Co,80424.0,Summit County,39.468782,-106.044573,Cat,Adoption,5
2007,5667.0,Pl000Vqj,Pet Animal Small Shelter,Animal Rescue of the Rockies,0577A Broken Lance,Breckenridge,Co,80424.0,Summit County,39.468782,-106.044573,Cat,Other Intake,5
2007,5667.0,Pl000Vqj,Pet Animal Small Shelter,Animal Rescue of the Rockies,0577A Broken Lance,Breckenridge,Co,80424.0,Summit County,39.468782,-106.044573,Dog,Adoption,37
2007,5667.0,Pl000Vqj,Pet Animal Small Shelter,Animal Rescue of the Rockies,0577A Broken Lance,Breckenridge,Co,80424.0,Summit County,39.468782,-106.044573,Dog,Other Intake,37
2007,26.0,Pl00009U,Pet Animal Small Shelter,Animal Welfare & Protection Society,3420 W. 8Th St.,Pueblo,Co,81003.0,Pueblo County,38.265425,-104.610415,Cat,Other Intake,4
2007,26.0,Pl00009U,Pet Animal Small Shelter,Animal Welfare & Protection Society,3420 W. 8Th St.,Pueblo,Co,81003.0,Pueblo County,38.265425,-104.610415,Cat,Owner Relinquished,4
2007,26.0,Pl00009U,Pet Animal Small Shelter,Animal Welfare & Protection Society,3420 W. 8Th St.,Pueblo,Co,81003.0,Pueblo County,38.265425,-104.610415,Dog,Adoption,185
2007,26.0,Pl00009U,Pet Animal Small Shelter,Animal Welfare & Protection Society,3420 W. 8Th St.,Pueblo,Co,81003.0,Pueblo County,38.265425,-104.610415,Dog,Death,5
2007,26.0,Pl00009U,Pet Animal Small Shelter,Animal Welfare & Protection Society,3420 W. 8Th St.,Pueblo,Co,81003.0,Pueblo County,38.265425,-104.610415,Dog,Other Intake,191
2007,26.0,Pl00009U,Pet Animal Small Shelter,Animal Welfare & Protection Society,3420 W. 8Th St.,Pueblo,Co,81003.0,Pueblo County,38.265425,-104.610415,Dog,Owner Relinquished,9
2007,26.0,Pl00009U,Pet Animal Small Shelter,Animal Welfare & Protection Society,3420 W. 8Th St.,Pueblo,Co,81003.0,Pueblo County,38.265425,-104.610415,Dog,Transfer Out,5
2007,3912.0,,,Annie'S Orphans,1630 Cr 214,Durango,Co,81303.0,,,,Cat,Adoption,637
2007,3912.0,,,Annie'S Orphans,1630 Cr 214,Durango,Co,81303.0,,,,Cat,Death,25
2007,3912.0,,,Annie'S Orphans,1630 Cr 214,Durango,Co,81303.0,,,,Cat,Euthanasia,55
2007,3912.0,,,Annie'S Orphans,1630 Cr 214,Durango,Co,81303.0,,,,Cat,Other Intake,754
2007,3912.0,,,Annie'S Orphans,1630 Cr 214,Durango,Co,81303.0,,,,Cat,Owner Relinquished,10
2007,3912.0,,,Annie'S Orphans,1630 Cr 214,Durango,Co,81303.0,,,,Cat,Transfer Out,2
